%dataset of open music transcriptor
%
@RELATION notation

@ATTRIBUTE arr1	REAL
@ATTRIBUTE arr2	REAL
@ATTRIBUTE arr3	REAL
@ATTRIBUTE arr4	REAL
@ATTRIBUTE arr5	REAL
@ATTRIBUTE arr6	REAL
@ATTRIBUTE arr7	REAL
@ATTRIBUTE arr8	REAL
@ATTRIBUTE arr9	REAL
@ATTRIBUTE arr10 REAL
@ATTRIBUTE arr11 REAL
@ATTRIBUTE arr12 REAL
@ATTRIBUTE arr13 REAL
@ATTRIBUTE arr14 REAL
@ATTRIBUTE arr15 REAL
@ATTRIBUTE arr16 REAL
@ATTRIBUTE arr17 REAL
@ATTRIBUTE arr18 REAL
@ATTRIBUTE arr19 REAL
@ATTRIBUTE arr20 REAL
@ATTRIBUTE arr21 REAL
@ATTRIBUTE arr22 REAL
@ATTRIBUTE arr23 REAL
@ATTRIBUTE arr24 REAL
@ATTRIBUTE arr25 REAL
@ATTRIBUTE class 	{Notation-treble,Notation-bass,Notation-minim,Notation-crotchet,Notation-quaver,Notation-semibreve,Notation-breve,Notation-crotchetrest,Notation-scale}

@DATA

-1,-1118482,-4079167,-1118482,-1,-1,-1118482,-13224394,-6118750,-1,-1,-14606047,-7763575,-5855578,-1,-1,-1315861,-9539986,-2829100,-1,-1,-6908266,-6250336,-3487030,-1,?
-1,-1118482,-12500671,-6447715,-1,-1,-12500671,-7105645,-4473925,-1,-1,-4473925,-7829368,-2829100,-1,-1,-1118482,-7697782,-9605779,-1,-1,-1118482,-1644826,-1118482,-1,?
-1,-1118482,-1118482,-1118482,-1,-1,-1118482,-1118482,-1118482,-592138,-1,-1118482,-1118482,-1118482,-460552,-1,-1118482,-1118482,-1118482,-1,-1,-1118482,-1118482,-1118482,-1,?
-1,-1118482,-1118482,-3092272,-1,-1,-1118482,-1118482,-14408668,-1,-1,-1118482,-1118482,-16448251,-1,-1,-1118482,-1118482,-12105913,-1,-1,-1118482,-1118482,-1118482,-1,?
-1,-1118482,-1118482,-3092272,-1,-1,-1118482,-1118482,-14408668,-1,-1,-1118482,-1118482,-16448251,-1,-1,-1118482,-1118482,-12105913,-1,-1,-1118482,-1118482,-1118482,-1,?
-1,-1118482,-1118482,-1118482,-1,-1,-1118482,-1118482,-1118482,-592138,-1,-1118482,-1118482,-1118482,-460552,-1,-1118482,-1118482,-1118482,-1,-1,-1118482,-1118482,-1118482,-1,?
-1,-1118482,-1118482,-3092272,-1,-1,-1118482,-1118482,-14408668,-1,-1,-1118482,-1118482,-16448251,-1,-1,-1118482,-1118482,-12105913,-1,-1,-1118482,-1118482,-1118482,-1,?
-1,-1118482,-1118482,-1118482,-1,-1,-1118482,-1118482,-6579301,-1,-1,-1118482,-1118482,-7829368,-1,-1,-1118482,-1118482,-7829368,-1,-1,-1118482,-1118482,-1118482,-1,?
-1,-1118482,-1118482,-3552823,-1,-1,-1118482,-7171438,-10066330,-1,-1,-1118482,-8421505,-9737365,-1,-1,-1118482,-8421505,-6118750,-1,-1,-1118482,-1118482,-1118482,-1,?
